Αἴας	*ai)/as	Αἴας	*ai)/as	n-s---mn-
Αἴας	*ai)/as	Αἶα	*ai)=a	n-p---fa-
Αἴας	*ai)/as	Αἶα	*ai)=a	n-s---fg-
Αἴας	*ai)/as	αἶα	ai)=a	n-s---fg-
Γᾶ	*ga=	Γαῖα	*gai=a	n-s---fn-
Γᾶ	*ga=	Γαῖα	*gai=a	n-s---fv-
Γᾶ	*ga=	Γαῖα	*gai=a	n-d---fn-
Γᾶ	*ga=	Γαῖα	*gai=a	n-d---fv-
Γᾶ	*ga=	Γαῖα	*gai=a	n-d---fa-
Γᾶ	*ga=	Γαῖα	*gai=a	n-s---fn-
Γᾶ	*ga=	Γαῖα	*gai=a	n-s---fv-
Γᾶ	*ga=	γε	ge	g--------
Γᾶ	*ga=	γῆ	gh=	n-d---fn-
Γᾶ	*ga=	γῆ	gh=	n-d---fv-
Γᾶ	*ga=	γῆ	gh=	n-d---fa-
Γᾶ	*ga=	γῆ	gh=	n-s---fn-
Γᾶ	*ga=	γῆ	gh=	n-s---fv-
Δαναοῖς	*danaoi=s	Δαναός	*danao/s	n-p---md-
Δαναοῖς	*danaoi=s	Δαναοί	*danaoi/	n-p---md-
Δαρδάνου	*darda/nou	Δάρδανος	*da/rdanos	n-s---mg-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-s---fg-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-p---fa-
Εὐβοίας	*eu)boi/as	Εὔβοια	*eu)/boia	n-s---fg-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Ζηνός	*zhno/s	Ζεύς	*zeu/s	n-s---mg-
Ζῆνα	*zh=na	Ζεύς	*zeu/s	n-s---ma-
Ζῆνα	*zh=na	ζῆνος	zh=nos	a-p---nn-
Ζῆνα	*zh=na	ζῆνος	zh=nos	a-p---nv-
Ζῆνα	*zh=na	ζῆνος	zh=nos	a-p---na-
Θερσίτης	*qersi/ths	Θερσίτης	*qersi/ths	n-s---mn-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	n-s---mg-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	n-s---mg-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	n-s---mn-
Θάνατε	*qa/nate	Θάνατος	*qa/natos	n-s---mv-
Θάνατε	*qa/nate	θάνατος	qa/natos	n-s---mv-
Κεφαλλήν	*kefallh/n	Κεφαλλήν	*kefallh/n	n-s---mn-
Κεφαλλήν	*kefallh/n	Κεφαλλήν	*kefallh/n	n-s---mv-
Κεφαλλήν	*kefallh/n	Κεφαλλῆνες	*kefallh=nes	n-s----n-
Κεφαλλήν	*kefallh/n	Κεφαλλῆνες	*kefallh=nes	n-s----v-
Κεφαλλήνων	*kefallh/nwn	Κεφαλλήν	*kefallh/n	n-p---mg-
Κεφαλλήνων	*kefallh/nwn	Κεφαλλῆνες	*kefallh=nes	n-p----g-
Κρόνου	*kro/nou	Κρόνος	*kro/nos	n-s---mg-
Κρόνου	*kro/nou	κρόνος	kro/nos	n-s---mg-
Λαερτίου	*laerti/ou	Λαέρτης	*lae/rths	n-s---mg-
Λαερτίῳ	*laerti/w|	Λαέρτης	*lae/rths	n-s---md-
Λαρτίου	*larti/ou	Λαέρτης	*lae/rths	n-s---mg-
Λαρτίου	*larti/ou	λάρτιος	la/rtios	a-s---mg-
Λαρτίου	*larti/ou	λάρτιος	la/rtios	a-s---ng-
Λαέρτου	*lae/rtou	Λαέρτης	*lae/rths	n-s---mg-
Λημνία	*lhmni/a	Λήμνιος	*lh/mnios	a-d---fn-
Λημνία	*lhmni/a	Λήμνιος	*lh/mnios	a-d---fv-
Λημνία	*lhmni/a	Λήμνιος	*lh/mnios	a-d---fa-
Λημνία	*lhmni/a	Λήμνιος	*lh/mnios	a-s---fn-
Λημνία	*lhmni/a	Λήμνιος	*lh/mnios	a-s---fv-
Λημνίῳ	*lhmni/w|	Λήμνιος	*lh/mnios	a-s---md-
Λημνίῳ	*lhmni/w|	Λήμνιος	*lh/mnios	a-s---nd-
Λυκομήδους	*lukomh/dous	Λυκομήδης	*lukomh/dhs	n-s---mg-
Λήμνου	*lh/mnou	Λῆμνος	*lh=mnos	n-s---fg-
Λύκιόν	*lu/kio/n	Λύκιος	*lu/kios	a-s---ma-
Λύκιόν	*lu/kio/n	Λύκιος	*lu/kios	a-s---nn-
Λύκιόν	*lu/kio/n	Λύκιος	*lu/kios	a-s---nv-
Λύκιόν	*lu/kio/n	Λύκιος	*lu/kios	a-s---na-
Λύκιόν	*lu/kio/n	λύκιον	lu/kion	n-s---nn-
Λύκιόν	*lu/kio/n	λύκιον	lu/kion	n-s---nv-
Λύκιόν	*lu/kio/n	λύκιον	lu/kion	n-s---na-
Λῆμνον	*lh=mnon	Λῆμνος	*lh=mnos	n-s---fa-
Μαλιάδων	*malia/dwn	Μαλιάδεσ-πλ	*malia/des-pl	n-p---fg-
Μενέλαε	*mene/lae	Μενέλαος	*mene/laos	n-s---mv-
Μενέλαε	*mene/lae	Μενέλαος	*mene/laos	n-s---mv-
Μηλιᾶ	*mhlia=	Μηλιεύς	*mhlieu/s	n-s---ma-
Μοῖρα	*moi=ra	Μοῖρα	*moi=ra	n-s---fn-
Μοῖρα	*moi=ra	Μοῖρα	*moi=ra	n-s---fv-
Μοῖρα	*moi=ra	μοῖρα	moi=ra	n-s---fn-
Μοῖρα	*moi=ra	μοῖρα	moi=ra	n-s---fv-
Μυκῆναι	*mukh=nai	Μυκήνη	*mukh/nh	n-p---fn-
Μυκῆναι	*mukh=nai	Μυκήνη	*mukh/nh	n-p---fv-
Νεοπτόλεμε	*neopto/leme	Νεοπτόλεμος	*neopto/lemos	n-s---mv-
Νεοπτόλεμος	*neopto/lemos	Νεοπτόλεμος	*neopto/lemos	n-s---mn-
Νέστωρ	*ne/stwr	Νέστωρ	*ne/stwr	n-s---mn-
Νίκη	*ni/kh	Νίκη	*ni/kh	n-s---fn-
Νίκη	*ni/kh	Νίκη	*ni/kh	n-s---fv-
Νίκη	*ni/kh	νίκη	ni/kh	n-s---fn-
Νίκη	*ni/kh	νίκη	ni/kh	n-s---fv-
Νίκη	*ni/kh	νῖκος	ni=kos	n-p---nn-
Νίκη	*ni/kh	νῖκος	ni=kos	n-p---nv-
Νίκη	*ni/kh	νῖκος	ni=kos	n-p---na-
Νίκη	*ni/kh	νῖκος	ni=kos	n-d---nn-
Νίκη	*ni/kh	νῖκος	ni=kos	n-d---nv-
Νίκη	*ni/kh	νῖκος	ni=kos	n-d---na-
Νίκη	*ni/kh	νικάω	nika/w	v2spma---
Νίκη	*ni/kh	νικάω	nika/w	v2spma---
Νίκη	*ni/kh	νικάω	nika/w	v3siia---
Οἰταίαν	*oi)tai/an	Οἰταῖος	*oi)tai=os	a-s---fa-
Οἰταίαν	*oi)tai/an	οἰταῖος	oi)tai=os	a-s---fa-
Οἰταίου	*oi)tai/ou	Οἰταῖος	*oi)tai=os	a-s---mg-
Οἰταίου	*oi)tai/ou	Οἰταῖος	*oi)tai=os	a-s---ng-
Οἰταίου	*oi)tai/ou	οἰταῖος	oi)tai=os	a-s---mg-
Οἰταίου	*oi)tai/ou	οἰταῖος	oi)tai=os	a-s---ng-
Οἴτας	*oi)/tas	Οἴτη	*oi)/th	n-p---fa-
Οἴτας	*oi)/tas	Οἴτη	*oi)/th	n-s---fg-
Οἴτην	*oi)/thn	Οἴτη	*oi)/th	n-s---fa-
Οἴτης	*oi)/ths	Οἴτη	*oi)/th	n-s---fg-
Οὑδυσσεύς	*ou(dusseu/s	Οὑδυσσεύς	*ou(dusseu/s	n-s---mn-
Πακτωλόν	*paktwlo/n	Πακτωλός	*paktwlo/s	n-s---ma-
Πεπάρηθον	*pepa/rhqon	Πεπάρηθος	*pepa/rhqos	n-s---ma-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	n-s---mg-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	n-s---mg-
Πηλέως	*phle/ws	Πηλεύς	*phleu/s	n-s---mn-
Πολιάς	*polia/s	Πολιάς	*polia/s	n-s---fn-
Πολιάς	*polia/s	πολιά	polia/	n-p---fa-
Πολιάς	*polia/s	πολιάς	polia/s	n-s---fn-
Πολιάς	*polia/s	πολιός	polio/s	a-p---fa-
Ποίαντι	*poi/anti	Ποίας	*poi/as	n-s---md-
Ποίαντος	*poi/antos	Ποίας	*poi/as	n-s---mg-
Πριάμου	*pria/mou	Πρίαμος	*pri/amos	n-s---mg-
Πάριν	*pa/rin	Πάρις	*pa/ris	n-s---ma-
Πάριν	*pa/rin	πάρειμι2	pa/reimi2	v3piia---
Πάτροκλος	*pa/troklos	Πάτροκλος	*pa/troklos	n-s---mn-
Πύλιος	*pu/lios	Πύλιος	*pu/lios	a-s---mn-
Πύλιος	*pu/lios	Πύλιος	*pu/lios	n-s---mn-
Σισύφου	*sisu/fou	Σίσυφος	*si/sufos	n-s---mg-
Σκύρου	*sku/rou	Σκύρας	*sku/ras	n-s---mg-
Σκύρου	*sku/rou	Σκῦρος	*sku=ros	n-s---fg-
Σκύρου	*sku/rou	σκύρον	sku/ron	n-s---ng-
Σκύρου	*sku/rou	σκῦρος	sku=ros	n-s---mg-
Σκύρῳ	*sku/rw|	Σκῦρος	*sku=ros	n-s---fd-
Σκύρῳ	*sku/rw|	σκύρον	sku/ron	n-s---nd-
Σκύρῳ	*sku/rw|	σκῦρος	sku=ros	n-s---md-
Σκῦρον	*sku=ron	Σκῦρος	*sku=ros	n-s---fa-
Σκῦρον	*sku=ron	σκῦρος	sku=ros	n-s---ma-
Σκῦρος	*sku=ros	Σκῦρος	*sku=ros	n-s---fn-
Σκῦρος	*sku=ros	σκῦρος	sku=ros	n-s---mn-
Σπερχειοῦ	*sperxeiou=	Σπερχειός	*sperxeio/s	n-s---mg-
Σπερχειόν	*sperxeio/n	Σπερχειός	*sperxeio/s	n-s---ma-
Σπάρτη	*spa/rth	Σπάρτη	*spa/rth	n-s---fn-
Σπάρτη	*spa/rth	Σπάρτη	*spa/rth	n-s---fv-
Σπάρτη	*spa/rth	σπάρτη	spa/rth	n-s---fn-
Σπάρτη	*spa/rth	σπάρτη	spa/rth	n-s---fv-
Σίγειον	*si/geion	Σίγειον	*si/geion	n-s---nn-
Σίγειον	*si/geion	Σίγειον	*si/geion	n-s---nv-
Σίγειον	*si/geion	Σίγειον	*si/geion	n-s---na-
Τεῦκρος	*teu=kros	Τεῦκρος	*teu=kros	n-s---mn-
Τραχινίαν	*traxini/an	Τραχίνιος	*traxi/nios	a-s---fa-
Τραχινίαν	*traxini/an	Τραχίς	*traxi/s	a-s---fa-
Τροίαν	*troi/an	Τροία	*troi/a	n-s---fa-
Τροίαν	*troi/an	Τροία	*troi/a	n-s---fa-
Τροίας	*troi/as	Τροία	*troi/a	n-p---fa-
Τροίας	*troi/as	Τροία	*troi/a	n-s---fg-
Τροίας	*troi/as	Τροία	*troi/a	n-p---fa-
Τροίας	*troi/as	Τροία	*troi/a	n-s---fg-
Τροίᾳ	*troi/a|	Τροία	*troi/a	n-s---fd-
Τροίᾳ	*troi/a|	Τροία	*troi/a	n-s---fd-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	a-s---ma-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	a-s---nn-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	a-s---nv-
Τρωικόν	*trwiko/n	Τρωικός	*trwiko/s	a-s---na-
Τρωσίν	*trwsi/n	Τρώς	*trw/s	n-p---md-
Τρῳάδα	*trw|a/da	Τρῳάς	*trw|a/s	n-s---fa-
Τυδέως	*tude/ws	Τυδεύς	*tudeu/s	n-s---mg-
Τυδέως	*tude/ws	Τυδεύς	*tudeu/s	n-s---mg-
Τυδέως	*tude/ws	Τυδεύς	*tudeu/s	n-s---mn-
Φιλοκτήτην	*filokth/thn	Φιλοκτήτης	*filokth/ths	n-s---ma-
Φιλοκτήτης	*filokth/ths	Φιλοκτήτης	*filokth/ths	n-s---mn-
Φιλοκτήτου	*filokth/tou	Φιλοκτήτης	*filokth/ths	n-s---mg-
Φιλοκτῆτ’	*filokth=t'	Φιλοκτήτης	*filokth/ths	n-s---mv-
Φιλοκτῆτ’	*filokth=t'	Φιλοκτήτης	*filokth/ths	n-s---mn-
Φοίβου	*foi/bou	Φοῖβος	*foi=bos	n-s---mg-
Φοίβου	*foi/bou	φοῖβος	foi=bos	a-s---mg-
Φοίβου	*foi/bou	φοῖβος	foi=bos	a-s---ng-
Φοῖνιξ	*foi=nic	Φοῖνιξ	*foi=nic	n-s---mn-
Φοῖνιξ	*foi=nic	Φοῖνιξ	*foi=nic	n-s---mv-
Φοῖνιξ	*foi=nic	φοῖνιξ	foi=nic	n-s---mn-
Φοῖνιξ	*foi=nic	φοῖνιξ	foi=nic	n-s---mv-
Φοῖνίξ	*foi=ni/c	Φοῖνιξ	*foi=nic	n-s---mn-
Φοῖνίξ	*foi=ni/c	Φοῖνιξ	*foi=nic	n-s---mv-
Φοῖνίξ	*foi=ni/c	φοῖνιξ	foi=nic	n-s---mn-
Φοῖνίξ	*foi=ni/c	φοῖνιξ	foi=nic	n-s---mv-
Χαλκώδοντος	*xalkw/dontos	Χαλκώδων	*xalkw/dwn	n-s---mg-
Χαλκώδοντος	*xalkw/dontos	χαλκώδων	xalkw/dwn	n-s---mg-
Χρύσης	*xru/shs	Χρύση	*xru/sh	n-s---fg-
Χρύσης	*xru/shs	Χρύσης	*xru/shs	n-s---mn-
αἰαῖ	ai)ai=	αἰαῖ	ai)ai=	x--------
αἰεί	ai)ei/	ἀεί	a)ei/	d--------
αἰνεῖν	ai)nei=n	αἰνέω	ai)ne/w	v--pna---
αἰνέσας	ai)ne/sas	αἰνέω	ai)ne/w	v-sapamn-
αἰνέσας	ai)ne/sas	αἰνέω	ai)ne/w	v-sapamv-
αἰνῶ	ai)nw=	αἰνέω	ai)ne/w	v1spsa---
αἰνῶ	ai)nw=	αἰνέω	ai)ne/w	v1spia---
αἰνῶ	ai)nw=	αἰνός	ai)no/s	a-s---mg-
αἰνῶ	ai)nw=	αἰνός	ai)no/s	a-s---ng-
αἰπεινόν	ai)peino/n	αἰπεινός	ai)peino/s	a-s---ma-
αἰπεινόν	ai)peino/n	αἰπεινός	ai)peino/s	a-s---nn-
αἰπεινόν	ai)peino/n	αἰπεινός	ai)peino/s	a-s---nv-
αἰπεινόν	ai)peino/n	αἰπεινός	ai)peino/s	a-s---na-
αἰσθήσεται	ai)sqh/setai	αἰσθάνομαι	ai)sqa/nomai	v3sfim---
αἰσχραῖς	ai)sxrai=s	αἰσχρός	ai)sxro/s	a-p---fd-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-p---na-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-d---fa-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-s---fn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	a-s---fv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---nn-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---nv-
αἰσχρά	ai)sxra/	αἰσχρός	ai)sxro/s	n-p---na-
αἰσχράν	ai)sxra/n	αἰσχρός	ai)sxro/s	a-s---fa-
αἰσχράς	ai)sxra/s	αἰσχρός	ai)sxro/s	a-p---fa-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	a-s---na-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---fa-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	n-s---na-
αἰσχρός	ai)sxro/s	αἰσχρός	ai)sxro/s	a-s---mn-
αἰσχρός	ai)sxro/s	αἰσχρός	ai)sxro/s	n-s---mn-
αἰσχρός	ai)sxro/s	αἰσχρός	ai)sxro/s	n-s---fn-
αἰσχρῶν	ai)sxrw=n	αἰσχρός	ai)sxro/s	a-p---fg-
αἰσχρῶν	ai)sxrw=n	αἰσχρός	ai)sxro/s	a-p---mg-
αἰσχρῶν	ai)sxrw=n	αἰσχρός	ai)sxro/s	a-p---ng-
αἰσχρῶν	ai)sxrw=n	αἰσχρός	ai)sxro/s	n-p---mg-
αἰσχρῶν	ai)sxrw=n	αἰσχρός	ai)sxro/s	n-p---fg-
αἰσχρῶν	ai)sxrw=n	αἰσχρός	ai)sxro/s	n-p---ng-
αἰσχρῶς	ai)sxrw=s	αἰσχρός	ai)sxro/s	x--------
αἰσχρῶς	ai)sxrw=s	αἰσχρός	ai)sxro/s	x--------
αἰσχύνην	ai)sxu/nhn	αἰσχύνη	ai)sxu/nh	n-s---fa-
αἰσχύνην	ai)sxu/nhn	αἰσχύνω	ai)sxu/nw	v--pna---
αἰσχύνοιτ’	ai)sxu/noit'	αἰσχύνω	ai)sxu/nw	v3spoe---
αἰσχύνοιτ’	ai)sxu/noit'	αἰσχύνω	ai)sxu/nw	v2ppoa---
αἰτιῶμαι	ai)tiw=mai	αἰτιάομαι	ai)tia/omai	v1spse---
αἰτιῶμαι	ai)tiw=mai	αἰτιάομαι	ai)tia/omai	v1spie---
αἰτιῶμαι	ai)tiw=mai	αἰτιάομαι	ai)tia/omai	v1spse---
αἰτουμένῳ	ai)toume/nw|	αἰτέω	ai)te/w	v-sppemd-
αἰτουμένῳ	ai)toume/nw|	αἰτέω	ai)te/w	v-sppend-
αἰτίαν	ai)ti/an	αἴτιος	ai)/tios	a-s---fa-
αἰτίαν	ai)ti/an	αἰτία	ai)ti/a	n-s---fa-
αἰχμήν	ai)xmh/n	αἰχμή	ai)xmh/	n-s---fa-
αἰέν	ai)e/n	ἀεί	a)ei/	d--------
αἰόλας	ai)o/las	αἰόλος	ai)o/los	a-p---fa-
αἰόλας	ai)o/las	αἰόλος	ai)o/los	a-s---fg-
αἰών	ai)w/n	αἰών	ai)w/n	n-s---mn-
αἰών	ai)w/n	αἰών	ai)w/n	n-s---mv-
αἱ	ai(	ὁ	o(	l-p---fn-
αἱ	ai(	ὁ	o(	l-p---fv-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	a-s---ma-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	a-s---nn-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	a-s---nv-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	a-s---na-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	n-s---ma-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	n-s---fa-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	n-s---nn-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	n-s---nv-
αἱματηρόν	ai(mathro/n	αἱματηρός	ai(mathro/s	n-s---na-
αἱμορραγής	ai(morragh/s	αἱμορραγής	ai(morragh/s	n-s---mn-
αἱμορραγής	ai(morragh/s	αἱμορραγής	ai(morragh/s	n-s---fn-
αἱμάδα	ai(ma/da	αἱμάς	ai(ma/s	n-s---fa-
αἱμάξω	ai(ma/cw	αἱμάσσω	ai(ma/ssw	v1sasa---
αἱμάξω	ai(ma/cw	αἱμάσσω	ai(ma/ssw	v1sfia---
αἱμάξω	ai(ma/cw	αἱμάσσω	ai(ma/ssw	v2saim---
αἱρεῖ	ai(rei=	αἱρέω	ai(re/w	v2spie---
αἱρεῖ	ai(rei=	αἱρέω	ai(re/w	v3spia---
αἱρήσειν	ai(rh/sein	αἱρέω	ai(re/w	v--fna---
αἱρήσοιμ’	ai(rh/soim'	αἱρέω	ai(re/w	v1sfoa---
αἴγλαν	ai)/glan	αἴγλη	ai)/glh	n-s---fa-
αἴθειν	ai)/qein	αἴθω	ai)/qw	v--pna---
αἴρων	ai)/rwn	αἴρω	ai)/rw	v-sppamn-
αἴρῃ	ai)/rh|	αἴρω	ai)/rw	v2spse---
αἴρῃ	ai)/rh|	αἴρω	ai)/rw	v2spie---
αἴρῃ	ai)/rh|	αἴρω	ai)/rw	v3spsa---
αἴρῃ	ai)/rh|	αἶρα	ai)=ra	n-s---fd-
αἴσχιστος	ai)/sxistos	αἰσχρός	ai)sxro/s	a-s---mn-
αἴσχιστ’	ai)/sxist'	αἰσχρός	ai)sxro/s	a-p---nn-
αἴσχιστ’	ai)/sxist'	αἰσχρός	ai)sxro/s	a-p---nv-
αἴσχιστ’	ai)/sxist'	αἰσχρός	ai)sxro/s	a-p---na-
αἴσχιστ’	ai)/sxist'	αἰσχρός	ai)sxro/s	a-s---mv-
αἴσχιστ’	ai)/sxist'	αἰσχρός	ai)sxro/s	a-p---fn-
αἴσχιστ’	ai)/sxist'	αἰσχρός	ai)sxro/s	a-p---fv-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---ma-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---nn-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---nv-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	a-s---na-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---ma-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---fa-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---nn-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---nv-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	n-s---na-
αἴτιον	ai)/tion	αἰτέω	ai)te/w	v3piia---
αἴτιον	ai)/tion	αἰτέω	ai)te/w	v1siia---
αἴτιος	ai)/tios	αἴτιος	ai)/tios	a-s---mn-
αἴτιος	ai)/tios	αἴτιος	ai)/tios	n-s---mn-
αἴτιος	ai)/tios	αἴτιος	ai)/tios	n-s---fn-
αἶα	ai)=a	αἶα	ai)=a	n-s---fn-
αἶα	ai)=a	αἶα	ai)=a	n-s---fv-
αἶνον	ai)=non	αἶνος	ai)=nos	n-s---ma-
αἶρε	ai)=re	αἴρω	ai)/rw	v2spma---
αἶρε	ai)=re	αἴρω	ai)/rw	v3siia---
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---nn-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---nv-
αἷμα	ai(=ma	αἷμα	ai(=ma	n-s---na-
αὐανοῦμαι	au)anou=mai	αὐαίνω	au)ai/nw	v1sfim---
αὐγαῖς	au)gai=s	αὐγή	au)gh/	n-p---fd-
αὐγάζων	au)ga/zwn	αὐγάζω	au)ga/zw	v-sppamn-
αὐδωμένου	au)dwme/nou	αὐδάομαι	au)da/omai	v-sppemg-
αὐδωμένου	au)dwme/nou	αὐδάομαι	au)da/omai	v-sppeng-
αὐδωμένου	au)dwme/nou	αὐδάω	au)da/w	v-sppemg-
αὐδωμένου	au)dwme/nou	αὐδάω	au)da/w	v-sppeng-
αὐδωμένου	au)dwme/nou	αὐδάζομαι	au)da/zomai	v-sfpmmg-
αὐδωμένου	au)dwme/nou	αὐδάζομαι	au)da/zomai	v-sfpmng-
αὐδά	au)da/	αὐδή	au)dh/	n-d---fn-
αὐδά	au)da/	αὐδή	au)dh/	n-d---fv-
αὐδά	au)da/	αὐδή	au)dh/	n-d---fa-
αὐδά	au)da/	αὐδή	au)dh/	n-s---fn-
αὐδά	au)da/	αὐδή	au)dh/	n-s---fv-
αὐδήν	au)dh/n	αὐδή	au)dh/	n-s---fa-
αὐδᾶσθαι	au)da=sqai	αὐδάομαι	au)da/omai	v--pne---
αὐδᾶσθαι	au)da=sqai	αὐδάομαι	au)da/omai	v--rne---
αὐδᾶσθαι	au)da=sqai	αὐδάω	au)da/w	v--pne---
αὐδᾶσθαι	au)da=sqai	αὐδάω	au)da/w	v--rne---
αὐδᾶσθαι	au)da=sqai	αὐδάζομαι	au)da/zomai	v--fnm---
αὐδᾷς	au)da=|s	αὐδάω	au)da/w	v2spsa---
αὐδᾷς	au)da=|s	αὐδάω	au)da/w	v2spia---
αὐδᾷς	au)da=|s	αὐδάζομαι	au)da/zomai	v2sfia---
αὐδῶμαι	au)dw=mai	αὐδάομαι	au)da/omai	v1spse---
αὐδῶμαι	au)dw=mai	αὐδάομαι	au)da/omai	v1spie---
αὐδῶμαι	au)dw=mai	αὐδάομαι	au)da/omai	v1spse---
αὐδῶμαι	au)dw=mai	αὐδάω	au)da/w	v1spse---
αὐδῶμαι	au)dw=mai	αὐδάω	au)da/w	v1spie---
αὐδῶμαι	au)dw=mai	αὐδάω	au)da/w	v1spse---
αὐδῶμαι	au)dw=mai	αὐδάζομαι	au)da/zomai	v1sfim---
αὐλάν	au)la/n	αὐλή	au)lh/	n-s---fa-
αὐλάς	au)la/s	αὐλή	au)lh/	n-p---fa-
αὐλίου	au)li/ou	αὔλιον	au)/lion	n-s---ng-
αὐλίου	au)li/ou	αὔλιος	au)/lios	a-s---mg-
αὐλίου	au)li/ou	αὔλιος	au)/lios	a-s---ng-
αὐλίων	au)li/wn	αὔλιον	au)/lion	n-p---ng-
αὐλίων	au)li/wn	αὔλιος	au)/lios	a-p---fg-
αὐλίων	au)li/wn	αὔλιος	au)/lios	a-p---mg-
αὐλίων	au)li/wn	αὔλιος	au)/lios	a-p---ng-
αὐλίων	au)li/wn	αὐλέω	au)le/w	v-sppamn-
αὐλίῳ	au)li/w|	αὔλιον	au)/lion	n-s---nd-
αὐλίῳ	au)li/w|	αὔλιος	au)/lios	a-s---md-
αὐλίῳ	au)li/w|	αὔλιος	au)/lios	a-s---nd-
αὐτούς	au)tou/s	αὐτός	au)to/s	n-p---ma-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---nd-
αὐτοῖς	au)toi=s	αὐτός	au)to/s	n-p---md-
αὐτοῖσι	au)toi=si	αὐτός	au)to/s	n-p---nd-
αὐτοῖσι	au)toi=si	αὐτός	au)to/s	n-p---md-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---ng-
αὐτοῦ	au)tou=	αὐτός	au)to/s	n-s---mg-
αὐτοῦ	au)tou=	αὐτοῦ	au)tou=	d--------
αὐτά	au)ta/	αὐτός	au)to/s	n-p---nn-
αὐτά	au)ta/	αὐτός	au)to/s	n-p---nv-
αὐτά	au)ta/	αὐτός	au)to/s	n-p---na-
αὐτά	au)ta/	αὐτός	au)to/s	n-d---fn-
αὐτά	au)ta/	αὐτός	au)to/s	n-d---fv-
αὐτά	au)ta/	αὐτός	au)to/s	n-d---fa-
αὐτά	au)ta/	αὐτός	au)to/s	n-s---fn-
αὐτά	au)ta/	αὐτός	au)to/s	n-s---fv-
